,Year,Statistic,Name,Team,Value
0,1901,Base on Balls,Dummy Hoy,Chicago,86
1,1901,Batting Average,Nap Lajoie,Philadelphia,.426
2,1901,Doubles,Nap Lajoie,Philadelphia,48
3,1901,Hits,Nap Lajoie,Philadelphia,232
4,1901,Home Runs,Nap Lajoie,Philadelphia,14
5,1901,On Base Percentage,Nap Lajoie,Philadelphia,.463
6,1901,RBI,Nap Lajoie,Philadelphia,125
7,1901,Runs,Nap Lajoie,Philadelphia,145
8,1901,Slugging Average,Nap Lajoie,Philadelphia,.643
9,1901,Stolen Bases,Frank Isbell,Chicago,52
10,1901,Total Bases,Nap Lajoie,Philadelphia,350
11,1901,Triples,Bill Keister,Baltimore,21
12,1901,Triples,Jimmy Williams,Baltimore,21
13,1902,Base on Balls,Topsy Hartsel,Philadelphia,87
14,1902,Batting Average,Ed Delahanty,Washington,.376
15,1902,Doubles,Harry Davis,Philadelphia,43
16,1902,Doubles,Ed Delahanty,Washington,43
17,1902,Hits,Charlie Hickman,Boston,193
18,1902,Hits,Charlie Hickman,Cleveland,193
19,1902,Home Runs,Socks Seybold,Philadelphia,16
20,1902,On Base Percentage,Ed Delahanty,Washington,.453
21,1902,RBI,Buck Freeman,Boston,121
22,1902,Runs,Dave Fultz,Philadelphia,109
23,1902,Runs,Topsy Hartsel,Philadelphia,109
24,1902,Slugging Average,Ed Delahanty,Washington,.590
25,1902,Stolen Bases,Topsy Hartsel,Philadelphia,47
26,1902,Total Bases,Charlie Hickman,Boston,288
27,1902,Total Bases,Charlie Hickman,Cleveland,288
28,1902,Triples,Jimmy Williams,Baltimore,21
29,1903,Base on Balls,Jimmy Barrett,Detroit,74
30,1903,Batting Average,Nap Lajoie,Cleveland,.344
31,1903,Doubles,Socks Seybold,Philadelphia,45
32,1903,Hits,Patsy Dougherty,Boston,195
33,1903,Home Runs,Buck Freeman,Boston,13
34,1903,On Base Percentage,Jimmy Barrett,Detroit,.407
35,1903,RBI,Buck Freeman,Boston,104
36,1903,Runs,Patsy Dougherty,Boston,107
37,1903,Slugging Average,Nap Lajoie,Cleveland,.518
38,1903,Stolen Bases,Harry Bay,Cleveland,45
39,1903,Total Bases,Buck Freeman,Boston,281
40,1903,Triples,Sam Crawford,Detroit,25
41,1904,Base on Balls,Jimmy Barrett,Detroit,79
42,1904,Batting Average,Nap Lajoie,Cleveland,.376
43,1904,Doubles,Nap Lajoie,Cleveland,49
44,1904,Hits,Nap Lajoie,Cleveland,211
45,1904,Home Runs,Harry Davis,Philadelphia,10
46,1904,On Base Percentage,Nap Lajoie,Cleveland,.413
47,1904,RBI,Nap Lajoie,Cleveland,102
48,1904,Runs,Patsy Dougherty,Boston,113
49,1904,Runs,Patsy Dougherty,New York,113
50,1904,Slugging Average,Nap Lajoie,Cleveland,.552
51,1904,Stolen Bases,Harry Bay,Cleveland,38
52,1904,Stolen Bases,Elmer Flick,Cleveland,38
53,1904,Total Bases,Nap Lajoie,Cleveland,305
54,1904,Triples,Joe Cassidy,Washington,19
55,1904,Triples,Buck Freeman,Boston,19
56,1904,Triples,Chick Stahl,Boston,19
57,1905,Base on Balls,Topsy Hartsel,Philadelphia,121
58,1905,Batting Average,Elmer Flick,Cleveland,.308
59,1905,Doubles,Harry Davis,Philadelphia,47
60,1905,Hits,George Stone,St. Louis,187
61,1905,Home Runs,Harry Davis,Philadelphia,8
62,1905,On Base Percentage,Topsy Hartsel,Philadelphia,.409
63,1905,RBI,Harry Davis,Philadelphia,83
64,1905,Runs,Harry Davis,Philadelphia,93
65,1905,Slugging Average,Elmer Flick,Cleveland,.462
66,1905,Stolen Bases,Danny Hoffman,Philadelphia,46
67,1905,Total Bases,George Stone,St. Louis,259
68,1905,Triples,Elmer Flick,Cleveland,18
69,1906,Base on Balls,Topsy Hartsel,Philadelphia,88
70,1906,Batting Average,George Stone,St. Louis,.358
71,1906,Doubles,Nap Lajoie,Cleveland,48
72,1906,Hits,Nap Lajoie,Cleveland,214
73,1906,Home Runs,Harry Davis,Philadelphia,12
74,1906,On Base Percentage,George Stone,St. Louis,.417
75,1906,RBI,Harry Davis,Philadelphia,96
76,1906,Runs,Elmer Flick,Cleveland,98
77,1906,Slugging Average,George Stone,St. Louis,.501
78,1906,Stolen Bases,John Anderson,Washington,39
79,1906,Stolen Bases,Elmer Flick,Cleveland,39
80,1906,Total Bases,George Stone,St. Louis,291
81,1906,Triples,Elmer Flick,Cleveland,22
82,1907,Base on Balls,Topsy Hartsel,Philadelphia,106
83,1907,Batting Average,Ty Cobb,Detroit,.350
84,1907,Doubles,Harry Davis,Philadelphia,35
85,1907,Hits,Ty Cobb,Detroit,212
86,1907,Home Runs,Harry Davis,Philadelphia,8
87,1907,On Base Percentage,Topsy Hartsel,Philadelphia,.405
88,1907,RBI,Ty Cobb,Detroit,119
89,1907,Runs,Sam Crawford,Detroit,102
90,1907,Slugging Average,Ty Cobb,Detroit,.468
91,1907,Stolen Bases,Ty Cobb,Detroit,49
92,1907,Total Bases,Ty Cobb,Detroit,283
93,1907,Triples,Elmer Flick,Cleveland,18
94,1908,Base on Balls,Topsy Hartsel,Philadelphia,93
95,1908,Batting Average,Ty Cobb,Detroit,.324
96,1908,Doubles,Ty Cobb,Detroit,36
97,1908,Hits,Ty Cobb,Detroit,188
98,1908,Home Runs,Sam Crawford,Detroit,7
99,1908,On Base Percentage,Doc Gessler,Boston,.394
100,1908,RBI,Ty Cobb,Detroit,108
101,1908,Runs,Matty McIntyre,Detroit,105
102,1908,Slugging Average,Ty Cobb,Detroit,.476
103,1908,Stolen Bases,Patsy Dougherty,Chicago,47
104,1908,Total Bases,Ty Cobb,Detroit,276
105,1908,Triples,Ty Cobb,Detroit,20
106,1909,Base on Balls,Donie Bush,Detroit,88
107,1909,Batting Average,Ty Cobb,Detroit,.377
108,1909,Doubles,Sam Crawford,Detroit,35
109,1909,Hits,Ty Cobb,Detroit,216
110,1909,Home Runs,Ty Cobb,Detroit,9
111,1909,On Base Percentage,Ty Cobb,Detroit,.431
112,1909,RBI,Ty Cobb,Detroit,107
113,1909,Runs,Ty Cobb,Detroit,116
114,1909,Slugging Average,Ty Cobb,Detroit,.517
115,1909,Stolen Bases,Ty Cobb,Detroit,76
116,1909,Total Bases,Ty Cobb,Detroit,296
117,1909,Triples,Frank Baker,Philadelphia,19
118,1910,Base on Balls,Donie Bush,Detroit,78
119,1910,Batting Average *,Nap Lajoie,Detroit,.384
120,1910,Doubles,Nap Lajoie,Cleveland,51
121,1910,Hits,Nap Lajoie,Cleveland,227
122,1910,Home Runs,Jake Stahl,Boston,10
123,1910,On Base Percentage,Ty Cobb,Detroit,.455
124,1910,RBI,Sam Crawford,Detroit,120
125,1910,Runs,Ty Cobb,Detroit,106
126,1910,Slugging Average,Ty Cobb,Detroit,.549
127,1910,Stolen Bases,Eddie Collins,Philadelphia,81
128,1910,Total Bases,Nap Lajoie,Cleveland,304
129,1910,Triples,Sam Crawford,Detroit,19
130,1911,Base on Balls,Donie Bush,Detroit,98
131,1911,Batting Average,Ty Cobb,Detroit,.419
132,1911,Doubles,Ty Cobb,Detroit,47
133,1911,Hits,Ty Cobb,Detroit,248
134,1911,Home Runs,Frank Baker,Philadelphia,11
135,1911,On Base Percentage,Joe Jackson,Cleveland,.468
136,1911,RBI,Ty Cobb,Detroit,127
137,1911,Runs,Ty Cobb,Detroit,147
138,1911,Slugging Average,Ty Cobb,Detroit,.620
139,1911,Stolen Bases,Ty Cobb,Detroit,83
140,1911,Total Bases,Ty Cobb,Detroit,367
141,1911,Triples,Ty Cobb,Detroit,24
142,1912,Base on Balls,Donie Bush,Detroit,117
143,1912,Batting Average,Ty Cobb,Detroit,.409
144,1912,Doubles,Tris Speaker,Boston,53
145,1912,Hits,Ty Cobb,Detroit,226
146,1912,Hits,Joe Jackson,Cleveland,226
147,1912,Home Runs,Frank Baker,Philadelphia,10
148,1912,Home Runs,Tris Speaker,Boston,10
149,1912,On Base Percentage,Tris Speaker,Boston,.464
150,1912,RBI,Frank Baker,Philadelphia,130
151,1912,Runs,Eddie Collins,Philadelphia,137
152,1912,Slugging Average,Ty Cobb,Detroit,.584
153,1912,Stolen Bases,Clyde Milan,Washington,88
154,1912,Total Bases,Joe Jackson,Cleveland,331
155,1912,Triples,Joe Jackson,Cleveland,26
156,1913,Base on Balls,Burt Shotton,St. Louis,99
157,1913,Batting Average,Ty Cobb,Detroit,.389
158,1913,Doubles,Joe Jackson,Cleveland,39
159,1913,Hits,Joe Jackson,Cleveland,197
160,1913,Home Runs,Frank Baker,Philadelphia,12
161,1913,On Base Percentage,Ty Cobb,Detroit,.466
162,1913,RBI,Frank Baker,Philadelphia,117
163,1913,Runs,Eddie Collins,Philadelphia,125
164,1913,Slugging Average,Joe Jackson,Cleveland,.551
165,1913,Stolen Bases,Clyde Milan,Washington,75
166,1913,Total Bases,Sam Crawford,Detroit,298
167,1913,Triples,Sam Crawford,Detroit,23
168,1914,Base on Balls,Donie Bush,Detroit,112
