,Year,Statistic,Name,Team,Value
0,1901,Complete Games,Joe McGinnity,Baltimore,39
1,1901,ERA,Cy Young,Boston,1.62
2,1901,Games,Joe McGinnity,Baltimore,48
3,1901,Saves,Bill Hoffer,Cleveland,3
4,1901,Shutouts,Clark Griffith,Chicago,5
5,1901,Shutouts,Cy Young,Boston,5
6,1901,Strikeouts,Cy Young,Boston,158
7,1901,Winning Percentage,Clark Griffith,Chicago,.774
8,1901,Wins,Cy Young,Boston,33
9,1902,Complete Games,Cy Young,Boston,41
10,1902,ERA,Ed Siever,Detroit,1.91
11,1902,Games,Cy Young,Boston,45
12,1902,Saves,Jack Powell,St. Louis,2
13,1902,Shutouts,Addie Joss,Cleveland,5
14,1902,Strikeouts,Rube Waddell,Philadelphia,210
15,1902,Winning Percentage,Bill Bernhard,Philadelphia,.783
16,1902,Winning Percentage,Bill Bernhard,Cleveland,.783
17,1902,Wins,Cy Young,Boston,32
18,1903,Complete Games,Bill Donovan,Detroit,34
19,1903,Complete Games,Rube Waddell,Philadelphia,34
20,1903,Complete Games,Cy Young,Boston,34
21,1903,ERA,Earl Moore,Cleveland,1.74
22,1903,Games,Eddie Plank,Philadelphia,43
23,1903,Saves,Bill Dinneen,Boston,2
24,1903,Saves,George Mullin,Detroit,2
25,1903,Saves,Al Orth,Washington,2
26,1903,Saves,Jack Powell,St. Louis,2
27,1903,Saves,Cy Young,Boston,2
28,1903,Shutouts,Cy Young,Boston,7
29,1903,Strikeouts,Rube Waddell,Philadelphia,302
30,1903,Winning Percentage,Cy Young,Boston,.757
31,1903,Wins,Cy Young,Boston,28
32,1904,Complete Games,Jack Chesbro,New York,48
33,1904,ERA,Addie Joss,Cleveland,1.59
34,1904,Games,Jack Chesbro,New York,55
35,1904,Saves,Case Patten,Washington,3
36,1904,Shutouts,Cy Young,Boston,10
37,1904,Strikeouts,Rube Waddell,Philadelphia,349
38,1904,Winning Percentage,Jack Chesbro,New York,.774
39,1904,Wins,Jack Chesbro,New York,41
40,1905,Complete Games,Harry Howell,St. Louis,35
41,1905,Complete Games,George Mullin,Detroit,35
42,1905,Complete Games,Eddie Plank,Philadelphia,35
43,1905,ERA,Rube Waddell,Philadelphia,1.48
44,1905,Games,Rube Waddell,Philadelphia,46
45,1905,Saves,Jim Buchanan,St. Louis,2
46,1905,Shutouts,Ed Killian,Detroit,8
47,1905,Strikeouts,Rube Waddell,Philadelphia,287
48,1905,Winning Percentage,Rube Waddell,Philadelphia,.730
49,1905,Wins,Rube Waddell,Philadelphia,27
50,1906,Complete Games,Al Orth,New York,36
51,1906,ERA,Doc White,Chicago,1.52
52,1906,Games,Jack Chesbro,New York,49
53,1906,Saves,Chief Bender,Philadelphia,3
54,1906,Saves,Otto Hess,Cleveland,3
55,1906,Shutouts,Ed Walsh,Chicago,10
56,1906,Strikeouts,Rube Waddell,Philadelphia,196
57,1906,Winning Percentage,Eddie Plank,Philadelphia,.760
58,1906,Wins,Al Orth,New York,27
59,1907,Complete Games,Ed Walsh,Chicago,37
60,1907,ERA,Ed Walsh,Chicago,1.60
61,1907,Games,Ed Walsh,Chicago,56
62,1907,Saves,Bill Dinneen,Philadelphia,4
63,1907,Saves,Bill Dinneen,St. Louis,4
64,1907,Saves,Tom Hughes,Washington,4
65,1907,Saves,Ed Walsh,Chicago,4
66,1907,Shutouts,Eddie Plank,Philadelphia,8
67,1907,Strikeouts,Rube Waddell,Philadelphia,232
68,1907,Winning Percentage,Bill Donovan,Detroit,.862
69,1907,Wins,Addie Joss,Cleveland,27
